IdSensore;Tipologia;IdTipologia;UnitaMisura;DataMinimaRT;DataMinimaPubblicazione;DataMassimaRT;UTM Nord;UTM Est;Quota;idStazione;Nome;Provincia;Comune
2123;Umidità Relativa;11;%;11/03/1993;;06/05/2024;5011978;529787;60;109;Sant'Angelo Lodigiano ;LO;Sant'Angelo Lodigiano
2124;Radiazione Globale;12;W/m²;23/07/1998;;06/05/2024;5011978;529787;60;109;Sant'Angelo Lodigiano ;LO;Sant'Angelo Lodigiano
2129;Precipitazione;2;mm;11/03/1993;;06/05/2024;5011978;529787;60;109;Sant'Angelo Lodigiano ;LO;Sant'Angelo Lodigiano
2134;Temperatura;3;°C;01/01/1998;;06/05/2024;4980052;638675;22;110;GONZAGA Palidano;MN;Gonzaga
2135;Umidità Relativa;11;%;01/01/1998;;06/05/2024;4980052;638675;22;110;GONZAGA Palidano;MN;Gonzaga
2136;Radiazione Globale;12;W/m²;07/05/1999;;06/05/2024;4980052;638675;22;110;GONZAGA Palidano;MN;Gonzaga
2140;Precipitazione;2;mm;03/01/1994;;06/05/2024;4980052;638675;22;110;GONZAGA Palidano;MN;Gonzaga
2141;Direzione Vento;10;°;17/03/1999;;06/05/2024;4980052;638675;22;110;GONZAGA Palidano;MN;Gonzaga
2146;Temperatura;3;°C;01/01/2002;;06/05/2024;5084512;538583;1234;111;Cassina Valsassina Moggio;LC;Cassina Valsassina
2147;Umidità Relativa;11;%;01/01/2002;;06/05/2024;5084512;538583;1234;111;Cassina Valsassina Moggio;LC;Cassina Valsassina
2148;Radiazione Globale;12;W/m²;31/10/2003;;06/05/2024;5084512;538583;1234;111;Cassina Valsassina Moggio;LC;Cassina Valsassina
2152;Precipitazione;2;mm;01/01/2002;;06/05/2024;5084512;538583;1234;111;Cassina Valsassina Moggio;LC;Cassina Valsassina
2153;Direzione Vento;10;°;28/02/2003;;06/05/2024;5084512;538583;1234;111;Cassina Valsassina Moggio;LC;Cassina Valsassina
2187;Temperatura;3;°C;29/09/2005;;06/05/2024;5018597;520937;88;114;Landriano Cascina Marianna;PV;Landriano
2188;Umidità Relativa;11;%;29/09/2005;;06/05/2024;5018597;520937;88;114;Landriano Cascina Marianna;PV;Landriano
2190;Radiazione Globale;12;W/m²;29/09/2005;;06/05/2024;5018597;520937;88;114;Landriano Cascina Marianna;PV;Landriano
2194;Direzione Vento;10;°;29/09/2005;;06/05/2024;5018600;520938;88;114;Landriano Cascina Marianna;PV;Landriano
2195;Precipitazione;2;mm;29/09/2005;;06/05/2024;5018596;520935;88;114;Landriano Cascina Marianna;PV;Landriano
2200;Temperatura;3;°C;24/09/2003;;01/08/2012;5073482;470058;193;115;Ispra tetto;VA;Ispra
2201;Umidità Relativa;11;%;24/09/2003;;01/08/2012;5073482;470058;193;115;Ispra tetto;VA;Ispra
2202;Velocità Vento;9;m/s;26/10/2001;;01/08/2012;5073482;470058;193;115;Ispra tetto;VA;Ispra
2204;Radiazione Globale;12;W/m²;24/09/2003;;04/08/2012;5073482;470058;193;115;Ispra tetto;VA;Ispra
2205;Direzione Vento;10;°;26/10/2001;;01/08/2012;5073482;470058;193;115;Ispra tetto;VA;Ispra
2206;Precipitazione;2;mm;24/09/2003;;23/10/2012;5073482;470058;193;115;Ispra tetto;VA;Ispra
2235;Temperatura;3;°C;25/10/2001;;15/06/2011;5073482;470058;193;116;Ispra prato;VA;Ispra
2236;Umidità Relativa;11;%;25/10/2001;;15/06/2011;5073482;470058;193;116;Ispra prato;VA;Ispra
2239;Precipitazione;2;mm;25/10/2001;;01/05/2011;5073482;470058;193;116;Ispra prato;VA;Ispra
2245;Temperatura;3;°C;01/01/1998;;06/05/2024;5114436;602920;699;117;Edolo Ist.Meneghini;BS;Edolo
2246;Umidità Relativa;11;%;01/01/1998;;06/05/2024;5114436;602920;699;117;Edolo Ist.Meneghini;BS;Edolo
2247;Radiazione Globale;12;W/m²;21/07/1998;;16/11/2011;5114436;602920;699;117;Edolo Ist.Meneghini;BS;Edolo
2251;Precipitazione;2;mm;02/04/1993;;06/05/2024;5114436;602920;699;117;Edolo Ist.Meneghini;BS;Edolo
2252;Direzione Vento;10;°;01/01/1998;;06/05/2024;5113706;603479;659;1075;Edolo Centrale ENEL;BS;Edolo
2270;Temperatura;3;°C;07/09/2001;;06/05/2024;5079768;549604;622;119;San Giovanni Bianco Cornalita;BG;San Giovanni Bianco
2271;Umidità Relativa;11;%;07/09/2001;;06/05/2024;5079768;549604;622;119;San Giovanni Bianco Cornalita;BG;San Giovanni Bianco
2275;Radiazione Globale;12;W/m²;12/09/2003;;06/05/2024;5079768;549604;622;119;San Giovanni Bianco Cornalita;BG;San Giovanni Bianco
2277;Direzione Vento;10;°;27/09/2001;;06/05/2024;5079768;549604;622;119;San Giovanni Bianco Cornalita;BG;San Giovanni Bianco
2278;Precipitazione;2;mm;07/09/2001;;06/05/2024;5079768;549604;622;119;San Giovanni Bianco Cornalita;BG;San Giovanni Bianco
2327;Temperatura;3;°C;08/08/2002;;06/05/2024;5013015;544135;67;123;Cavenago d'Adda ;LO;Cavenago d'Adda
2328;Umidità Relativa;11;%;08/08/2002;;06/05/2024;5013015;544135;67;123;Cavenago d'Adda ;LO;Cavenago d'Adda
2333;Radiazione Globale;12;W/m²;23/09/2003;;06/05/2024;5013015;544132;67;123;Cavenago d'Adda ;LO;Cavenago d'Adda
2336;Precipitazione;2;mm;08/08/2002;;06/05/2024;5013015;544135;67;123;Cavenago d'Adda ;LO;Cavenago d'Adda
2361;Temperatura;3;°C;01/01/1993;;06/05/2024;5010411;476502;106;125;Castello d'Agogna ;PV;Castello d'Agogna
2362;Umidità Relativa;11;%;01/01/1993;;06/05/2024;5010411;476502;106;125;Castello d'Agogna ;PV;Castello d'Agogna
2364;Radiazione Globale;12;W/m²;21/07/1998;;06/05/2024;5010411;476502;106;125;Castello d'Agogna ;PV;Castello d'Agogna
2368;Precipitazione;2;mm;17/10/1990;;06/05/2024;5010411;476502;106;125;Castello d'Agogna ;PV;Castello d'Agogna
2373;Temperatura;3;°C;26/04/2002;;30/10/2017;5060979;524066;360;126;Casatenovo prato;LC;Casatenovo
2374;Umidità Relativa;11;%;26/04/2002;;30/10/2017;5060979;524066;360;126;Casatenovo prato;LC;Casatenovo
2377;Precipitazione;2;mm;26/04/2002;;30/10/2017;5060979;524066;360;126;Casatenovo prato;LC;Casatenovo
2383;Direzione Vento;10;°;10/11/2003;;06/05/2024;5060979;524066;360;127;Casatenovo tetto;LC;Casatenovo
2384;Radiazione Globale;12;W/m²;10/11/2003;;06/05/2024;5060979;524066;360;127;Casatenovo tetto;LC;Casatenovo
2385;Precipitazione;2;mm;10/11/2003;;06/05/2024;5060979;524066;360;127;Casatenovo tetto;LC;Casatenovo
2388;Temperatura;3;°C;20/03/1996;;10/02/2012;5032570;550482;96;128;Capralba ;CR;Capralba
2389;Umidità Relativa;11;%;20/03/1996;;01/01/2012;5032570;550482;96;128;Capralba ;CR;Capralba
2390;Radiazione Globale;12;W/m²;21/07/1998;;10/02/2012;5032570;550482;96;128;Capralba ;CR;Capralba
2392;Velocità Vento;9;m/s;20/03/1996;;29/12/2010;5032570;550482;96;128;Capralba ;CR;Capralba
2394;Direzione Vento;10;°;20/03/1996;;01/02/2012;5032570;550482;96;128;Capralba ;CR;Capralba
2395;Precipitazione;2;mm;20/03/1996;;10/02/2012;5032570;550482;96;128;Capralba ;CR;Capralba
2400;Temperatura;3;°C;30/10/2002;;06/05/2024;5097875;603903;362;129;Capo di Ponte v.Briscioli;BS;Capo di Ponte
2401;Umidità Relativa;11;%;30/10/2002;;06/05/2024;5097875;603903;362;129;Capo di Ponte v.Briscioli;BS;Capo di Ponte
